Outcome..1.if.made..0.otherwise.,Team_Score,Opponent_Score
1,15,36
1,34,27
1,8,7
0,20,26
1,74,64
0,39,43
1,46,57
1,48,59
0,89,105
1,28,28
1,67,74
0,6,6
0,69,88
0,14,16
0,16,18
1,45,57
0,47,61
0,39,49
1,59,66
0,63,71
0,90,103
0,12,12
0,55,71
1,51,55
1,13,16
1,14,10
0,2,11
1,4,13
0,82,97
0,94,109
0,82,82
1,54,53
0,18,13
0,56,66
0,12,4
0,67,50
0,18,24
0,30,34
1,90,100
1,13,16
1,49,49
1,51,51
0,57,67
0,103,110
1,4,7
1,32,26
1,75,80
0,0,4
0,41,38
0,98,81
0,58,70
1,5,4
1,20,25
0,20,32
1,47,36
0,39,29
0,59,47
0,87,78
0,7,5
0,74,78
0,23,27
0,46,53
0,0,2
0,60,68
0,44,38
1,46,42
0,109,115
0,53,48
0,28,36
0,40,50
1,44,53
0,44,55
1,2,4
0,33,26
0,3,2
0,60,56
0,60,58
1,27,14
0,63,61
1,35,28
1,29,23
0,70,63
1,55,61
0,55,65
1,55,55
0,100,99
0,18,24
1,21,16
0,22,14
1,64,55
0,64,59
0,8,16
0,51,53
1,53,55
0,32,42
1,2,0
0,67,72
0,54,48
1,75,57
0,3,7
1,26,21
1,45,45
0,54,63
1,40,51
1,50,55
1,4,4
0,11,9
1,19,12
1,80,60
1,53,67
1,82,88
0,63,54
0,40,52
1,75,88
1,82,98
0,97,102
1,13,12
0,55,77
1,61,84
0,66,94
0,107,88
1,9,11
0,15,17
0,17,19
1,54,46
0,71,63
0,85,77
0,60,42
0,70,69
0,65,78
1,63,55
0,67,59
0,89,79
0,64,65
1,4,0
1,73,56
1,4,4
0,6,6
1,61,53
0,13,15
0,0,2
0,30,27
0,44,48
0,44,50
0,51,56
0,83,101
1,2,3
0,74,75
0,31,37
0,35,43
1,78,90
0,91,103
0,93,103
1,10,11
1,22,18
1,33,30
1,54,62
0,57,66
1,98,95
0,52,60
0,27,25
1,29,26
